PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV,year,month,day,time,station_number,station_latitude,station_longitude
1031.0,30,-0.7,-3.2,83,2.94,75,4,270.1,278.2,270.6,2016,12,01,00Z,3953,51.93,-10.25
1026.0,68,1.8,-14.2,29,1.25,73,4,272.9,276.6,273.1,2016,12,01,00Z,3953,51.93,-10.25
1025.0,75,4.4,-5.6,48,2.47,73,4,275.6,282.6,276.0,2016,12,01,00Z,3953,51.93,-10.25
1024.0,83,5.8,-4.2,49,2.75,73,3,277.1,284.9,277.5,2016,12,01,00Z,3953,51.93,-10.25
1014.0,160,7.0,-5.0,42,2.61,70,3,279.0,286.6,279.5,2016,12,01,00Z,3953,51.93,-10.25
1000.0,270,6.6,-6.4,39,2.38,65,2,279.8,286.7,280.1,2016,12,01,00Z,3953,51.93,-10.25
967.0,545,4.8,-9.2,36,1.98,93,7,280.6,286.5,281.0,2016,12,01,00Z,3953,51.93,-10.25
942.0,758,4.6,-20.4,14,0.81,115,11,282.5,285.1,282.7,2016,12,01,00Z,3953,51.93,-10.25
928.0,880,7.0,-27.0,7,0.45,127,13,286.2,287.7,286.3,2016,12,01,00Z,3953,51.93,-10.25
925.0,907,7.0,-28.0,6,0.42,130,14,286.5,287.8,286.5,2016,12,01,00Z,3953,51.93,-10.25
850.0,1599,5.6,-33.4,4,0.27,145,10,292.0,292.9,292.1,2016,12,01,00Z,3953,51.93,-10.25
807.0,2020,4.3,-34.7,4,0.25,155,16,294.9,295.8,295.0,2016,12,01,00Z,3953,51.93,-10.25
768.0,2422,3.0,-36.0,4,0.23,152,15,297.8,298.6,297.8,2016,12,01,00Z,3953,51.93,-10.25
700.0,3164,-1.9,-38.9,4,0.19,145,14,300.4,301.0,300.4,2016,12,01,00Z,3953,51.93,-10.25
677.0,3428,-4.1,-40.1,4,0.17,142,14,300.8,301.4,300.8,2016,12,01,00Z,3953,51.93,-10.25
566.0,4822,-10.7,-56.7,1,0.03,126,17,308.8,308.9,308.8,2016,12,01,00Z,3953,51.93,-10.25
500.0,5760,-18.9,-50.9,4,0.07,115,19,309.9,310.2,309.9,2016,12,01,00Z,3953,51.93,-10.25
446.0,6590,-25.2,-52.1,6,0.07,130,17,312.2,312.5,312.2,2016,12,01,00Z,3953,51.93,-10.25
400.0,7380,-31.3,-53.3,10,0.07,140,31,314.2,314.5,314.2,2016,12,01,00Z,3953,51.93,-10.25
347.0,8366,-40.1,-60.1,10,0.03,138,34,315.3,315.5,315.4,2016,12,01,00Z,3953,51.93,-10.25
300.0,9340,-48.1,-64.1,14,0.02,135,37,317.4,317.6,317.4,2016,12,01,00Z,3953,51.93,-10.25
278.0,9833,-52.2,-66.9,15,0.02,135,43,318.5,318.6,318.5,2016,12,01,00Z,3953,51.93,-10.25
250.0,10520,-57.9,-70.9,17,0.01,125,37,319.9,319.9,319.9,2016,12,01,00Z,3953,51.93,-10.25
249.0,10545,-58.1,-71.1,17,0.01,125,36,319.9,320.0,319.9,2016,12,01,00Z,3953,51.93,-10.25
227.0,11117,-59.9,-72.9,17,0.01,135,23,325.8,325.8,325.8,2016,12,01,00Z,3953,51.93,-10.25
208.0,11657,-61.5,-74.5,16,0.01,100,29,331.4,331.4,331.4,2016,12,01,00Z,3953,51.93,-10.25
200.0,11900,-62.3,-75.3,16,0.01,135,23,333.9,334.0,333.9,2016,12,01,00Z,3953,51.93,-10.25
190.0,12214,-64.4,-77.4,15,0.01,155,25,335.5,335.5,335.5,2016,12,01,00Z,3953,51.93,-10.25
186.0,12345,-65.3,-78.3,15,0.00,150,19,336.1,336.1,336.1,2016,12,01,00Z,3953,51.93,-10.25
177.0,12651,-62.0,-77.4,11,0.01,55,12,346.3,346.3,346.3,2016,12,01,00Z,3953,51.93,-10.25
171.0,12863,-59.7,-76.7,9,0.01,160,2,353.5,353.6,353.5,2016,12,01,00Z,3953,51.93,-10.25
150.0,13680,-60.7,-89.7,1,0.00,340,4,365.3,365.3,365.3,2016,12,01,00Z,3953,51.93,-10.25
100.0,16190,-62.3,-91.3,1,0.00,295,12,407.1,407.1,407.1,2016,12,01,00Z,3953,51.93,-10.25
82.3,17380,-65.9,-93.9,1,0.00,300,8,423.0,423.0,423.0,2016,12,01,00Z,3953,51.93,-10.25
70.0,18360,-65.9,-93.9,1,0.00,315,8,443.1,443.1,443.1,2016,12,01,00Z,3953,51.93,-10.25
60.0,19290,-67.0,-94.5,1,0.00,290,17,460.6,460.6,460.6,2016,12,01,00Z,3953,51.93,-10.25
54.0,19926,-67.8,-95.0,1,0.00,355,12,472.9,472.9,472.9,2016,12,01,00Z,3953,51.93,-10.25
